,state,zipcode,total_income
915,AL,35544,3616.0001
918,AL,35546,7129.0
919,AL,35546,15065.0
920,AL,35546,15941.0
921,AL,35546,13555.0
922,AL,35546,20732.0
923,AL,35546,6231.0001
924,AL,35548,3333.0
925,AL,35548,6409.0
926,AL,35548,4528.0
927,AL,35548,3078.0001
928,AL,35548,4679.0001
930,AL,35549,8425.0
931,AL,35549,13782.0
932,AL,35549,11516.0
933,AL,35549,9959.0
934,AL,35549,13590.0
936,AL,35550,10153.0
937,AL,35550,17385.0
938,AL,35550,16727.0
939,AL,35550,14636.0
940,AL,35550,22372.0
941,AL,35550,16578.0001
942,AL,35552,1743.0
943,AL,35552,3771.0001
944,AL,35552,4107.0
945,AL,35552,2766.0001
946,AL,35552,5365.0001
948,AL,35553,9021.0
949,AL,35553,17606.0
950,AL,35553,15147.0
951,AL,35553,10355.0
952,AL,35553,17091.0
953,AL,35553,16321.0001
954,AL,35554,1891.0001
955,AL,35554,4764.0
956,AL,35554,3405.0001
957,AL,35554,3881.0
958,AL,35554,7846.0001
960,AL,35555,19188.0
961,AL,35555,33956.0
962,AL,35555,33275.0
963,AL,35555,27924.0
964,AL,35555,43777.0
965,AL,35555,13308.0001
966,AL,35563,8177.0
967,AL,35563,15685.0
968,AL,35563,13514.0
969,AL,35563,12466.0
970,AL,35563,20409.0
971,AL,35563,7610.0001
972,AL,35564,4310.0
973,AL,35564,10200.0
974,AL,35564,8003.0
975,AL,35564,4425.0001
976,AL,35564,8026.0
978,AL,35565,26905.0
979,AL,35565,47831.0
980,AL,35565,42873.0
981,AL,35565,29693.0
982,AL,35565,43199.0
983,AL,35565,30371.0
984,AL,35570,21910.0
985,AL,35570,39240.0
986,AL,35570,35522.0
987,AL,35570,28001.0
988,AL,35570,40407.0
989,AL,35570,19900.0
990,AL,35571,1674.0
991,AL,35571,3799.0001
992,AL,35571,3644.0
993,AL,35571,4899.0001
996,AL,35572,1473.0001
997,AL,35572,4414.0
998,AL,35572,2803.0001
999,AL,35572,3655.0
1000,AL,35572,10158.0001
1002,AL,35574,2282.0
1003,AL,35574,4938.0
1004,AL,35574,7224.0
1005,AL,35574,5504.0001
1006,AL,35574,9796.0
1008,AL,35575,1749.0
1009,AL,35575,3391.0001
1010,AL,35575,4135.0
1011,AL,35575,3220.0001
1012,AL,35575,3525.0001
1014,AL,35576,5342.0
1015,AL,35576,11973.0
1016,AL,35576,11005.0
1017,AL,35576,12068.0
1018,AL,35576,21339.0
1020,AL,35578,8723.0
1021,AL,35578,18801.0
1022,AL,35578,17115.0
1023,AL,35578,16475.0
1024,AL,35578,21789.0
1026,AL,35579,5535.0
1027,AL,35579,11254.0
1028,AL,35579,11500.0
1029,AL,35579,10222.0
1030,AL,35579,16336.0
1032,AL,35580,7310.0
1033,AL,35580,14244.0
1034,AL,35580,13611.0
1035,AL,35580,12306.0
1036,AL,35580,26108.0
1038,AL,35581,11146.0
1039,AL,35581,19719.0
1040,AL,35581,17446.0
1041,AL,35581,13837.0
1042,AL,35581,21120.0
1044,AL,35582,7363.0
1045,AL,35582,19384.0
1046,AL,35582,14570.0
1047,AL,35582,13634.0
1048,AL,35582,15941.0
1049,AL,35582,23393.0
1050,AL,35585,3110.0
1051,AL,35585,5501.0
1052,AL,35585,6146.0
1053,AL,35585,4794.0001
1054,AL,35585,11819.0
1056,AL,35586,7990.0
1057,AL,35586,16358.0
1058,AL,35586,13911.0
1059,AL,35586,15002.0
1060,AL,35586,20349.0
